"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
515475,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Deletion of ""src"" source folder should update the build path","2017-04-20 10:31:34"
482478,"JDT","Core","sasikanth.bharadwaj","RESOLVED","WORKSFORME","[1.9] Code select does not resolve the elements correctly in module-info.java file","2016-09-06 16:48:02"
540717,"JDT","UI","Vikas.Chandra","RESOLVED","WORKSFORME","Enable drag and drop of plugin dependencies container from modulepath to classpath and vice versa.","2018-11-03 09:38:39"
519880,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[9][content assist] Missing autocompletion for JDK modules in module-info","2017-07-19 08:54:41"
488108,"JDT","Debug","jdt-debug-inbox","CLOSED","WORKSFORME","Eclipse shows always(?) an empty(?) ""[Debug Console]"" when debugging an application","2018-11-18 22:16:36"
465621,"JDT","Doc","jdt-doc-inbox","RESOLVED","WORKSFORME","Eclipse is not installing.","2015-04-28 08:36:19"
544433,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[search] Support for more filtering in search results","2019-02-14 05:19:09"
495510,"JDT","Text","noopur_gupta","RESOLVED","WORKSFORME","Java syntax highlighting broken after moving a line of code","2016-07-21 02:20:54"
469895,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","[1.9] JRE containers for Java 9 should optionally include appmodules and extmodules as well","2019-02-12 03:40:31"
545630,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[content assist][templates] sysout shortcut is broken","2019-03-21 10:04:39"
531572,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","NPE when launching project containing libs with external annotations","2018-02-23 06:06:58"
500780,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","abstract class name change will not error on save","2016-09-12 02:08:32"
473925,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Move Method Refactoring results in compilation error","2015-08-05 04:19:42"
548338,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Java index out-of-date - Provide a way to rebuild the index","2019-06-18 14:34:12"
534810,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","can't launch java applications using OpenJDK 11 EA Build 13","2018-05-17 13:50:06"
510267,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[navigation] Code forward navigation does not work for inner interfaces","2017-01-23 04:56:27"
515481,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[1.9] Code completion for module-info.java not available if comments are removed","2017-04-20 10:51:54"
